directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
45,45,1841116,Gamla Enköpingsvägen,"LINESTRING (17.951441917677755 59.38056104866021, 17.952020772505165 59.38051484819344, 17.952168222735 59.38050904730875, 17.952312116147837 59.38050629213351, 17.952484297803707 59.38050338141439, 17.95268796738273 59.38050106028636, 17.952854589006968 59.380503675501394, 17.953227371982774 59.38051863991869, 17.95381716390628 59.38054006288845, 17.954204091653175 59.380559700192336, 17.95444746797904 59.3805712493398)",false
46,46,1841117,Gamla Enköpingsvägen,"LINESTRING (17.95444746797904 59.3805712493398, 17.954464126167487 59.38057203101826, 17.954536434052343 59.38057298032365)",false
47,47,1841118,Gamla Enköpingsvägen,"LINESTRING (17.954536434052343 59.38057298032365, 17.95467456121667 59.380574792233745)",false
48,48,1841119,Gamla Enköpingsvägen,"LINESTRING (17.95467456121667 59.380574792233745, 17.954841893629627 59.38057221294709, 17.955034840305203 59.38056870242932, 17.955273892914317 59.3805601208483, 17.955661706824923 59.38052257463103)",false
49,49,1853887,Valkyriavägen,"LINESTRING (17.94498895902548 59.37826430919269, 17.94512015516631 59.37824542255364, 17.94525575596416 59.378219660953995, 17.945386798990747 59.37818906896071, 17.945529235085534 59.37815258530143, 17.94566388796825 59.37811976384675, 17.945781887759793 59.37810325042523, 17.945876241874718 59.37810181028932, 17.945975212641308 59.37810628627062, 17.946056061922956 59.37812029230976, 17.94612790002137 59.37814450317428, 17.946178553730903 59.37817095396934, 17.946334968393305 59.37829024647987)",false
50,50,1853889,Rissneleden,"LINESTRING (17.94635814931351 59.378284631213766, 17.946334968393305 59.37829024647987)",false
51,51,1854037,Artillerivägen,"LINESTRING (17.940546481031223 59.37925865789178, 17.9404088644466 59.379168740646584, 17.94029572788101 59.37908634940885, 17.940186078000462 59.37898158564787, 17.940122361937988 59.37889598601555, 17.940058547551818 59.37878098699816, 17.94001081483806 59.378667647101004, 17.939975492486553 59.37856583467988, 17.939952921590056 59.378490062223754)",false
52,52,1095079,Gräsvägen,"LINESTRING (17.9560775832476 59.38663422980225, 17.956090675362496 59.38670747331299, 17.956076046033306 59.38685719499432, 17.956039771873098 59.386993416384286, 17.955983983666755 59.38713190427906)",false
53,53,1603261,Marieborgsgatan,"LINESTRING (17.948320672339445 59.38693516456872, 17.94820558538946 59.38691884263884, 17.948194111302495 59.386912479514415)",false
54,54,1095080,Marieborgsgatan,"LINESTRING (17.948320672339445 59.38693516456872, 17.94828825785137 59.386987026906745, 17.947870881955936 59.38716129974772, 17.94749911864184 59.38728581894093, 17.94701818761356 59.38741130377532, 17.946855220286835 59.387441207594335, 17.946836958196545 59.38744065434017)",false
55,55,1603219,Solvändan,"LINESTRING (17.949396994213448 59.387349179050744, 17.949005286663017 59.387076773022784)",false
56,56,1603218,Gåsörtsvägen,"LINESTRING (17.950175185367613 59.387078002872414, 17.949761282620003 59.387222226545454, 17.949396994213448 59.387349179050744)",false
57,57,1603135,Grönlingens väg,"LINESTRING (17.951376528582365 59.38760801048605, 17.951335020408266 59.387689750733664, 17.951290675587806 59.38776682861393, 17.95120536143861 59.38781904437507, 17.95112827534012 59.38784940898082, 17.951020985959456 59.3878456279637, 17.950906429525475 59.38783181238588, 17.950857863668936 59.38778826080975, 17.950829905590773 59.38774468316221, 17.950872464294594 59.38769100907027, 17.95092835451113 59.38764681883908, 17.951141860540133 59.387619378372456, 17.951376528582365 59.38760801048605)",false
58,58,1603225,,"LINESTRING (17.95458278512403 59.388345743054536, 17.95479890791433 59.38838797657909, 17.954948497026347 59.38841767264263, 17.955088044027445 59.38846252163491)",false
59,59,1603226,,"LINESTRING (17.955088044027445 59.38846252163491, 17.955374037934558 59.388731528416656, 17.95566157877718 59.3890077241979, 17.95584127651951 59.38922647329352)",false
60,60,1846505,,"LINESTRING (17.954133363578624 59.38930664725354, 17.954406563923964 59.38927822656849, 17.954638401128932 59.38926376306678, 17.955328178267518 59.38924090692642, 17.95584127651951 59.38922647329352)",false
