edge_id,source,target,osm_id,highway,name,maxspeed,oneway,lanes,surface,refs,geometry,is_reverse,length_m,maxspeed_kmh,cost_s,from_cell,to_cell,lca_res
1297,280778852,10188710200,33853130,residential,Sturegatan,30,,,asphalt,"[280778852, 10188710200]","LINESTRING (17.9712359 59.362187500000005, 17.9717039 59.3620348)",false,31.489658,30.0,3.778759,612639521709752319,612639521709752319,8
1298,303819111,1831404888,27663858,residential,Fågelsången,30,,,asphalt,"[303819111, 10057311017, 1831404888]","LINESTRING (17.9707526 59.3641529, 17.9708729 59.3641152, 17.971144300000002 59.3640303)",false,26.047169,30.0,3.1256602,612639521709752319,612639521709752319,8
1299,9872334010,310085271,121963743,residential,Hästhagsgatan,30,,,asphalt,"[9872334010, 310085271]","LINESTRING (17.958416800000002 59.365759600000004, 17.9585531 59.3656804)",false,11.713156,30.0,1.4055786,612639521770569727,612639521770569727,8
1300,587677386,10886176764,1171538054,service,,20.0,,,,"[587677386, 10886176763, 10886176764]","LINESTRING (17.941591000000003 59.3792601, 17.9416207 59.379318000000005, 17.94202 59.3792692)",false,29.911509,20.0,5.3840714,612639521737015295,612639521676197887,6
1301,587677386,587677387,46102014,service,,20.0,,,,"[587677386, 587677387]","LINESTRING (17.941591000000003 59.3792601, 17.9413014 59.3793804)",false,21.165277,20.0,3.80975,612639521737015295,612639521737015295,8
1302,10886176760,587677404,46102015,service,,20.0,,,,"[10886176760, 587677395, 587677396, 10886176772, 10886176771, 587677397, 587677398, 587677399, 587677400, 587677401, 587677402, 587677403, 587677404]","LINESTRING (17.9425655 59.3793622, 17.9426746 59.3794405, 17.942835600000002 59.37952790000001, 17.9429668 59.3795754, 17.9431027 59.379606200000005, 17.943286200000003 59.379626300000005, 17.9438226 59.379566200000006, 17.9443162 59.37946230000001, 17.9449384 59.3792984, 17.945614300000003 59.379090700000006, 17.9459577 59.3789869, 17.946086400000002 59.3788667, 17.9476528 59.37861530000001)",false,328.77075,20.0,59.178738,612639521676197887,612639521676197887,8
1303,738078650,738078652,487061382,residential,Boplatsvägen,30,no,,asphalt,"[738078650, 11194941133, 2533614027, 6631197858, 4795778164, 4795778183, 4795778165, 4795778166, 6001153071, 6001153070, 6001153069, 738078652]","LINESTRING (17.9749965 59.38220630000001, 17.974981200000002 59.382148, 17.974970600000002 59.38211140000001, 17.974895 59.381962900000005, 17.974840500000003 59.381894100000004, 17.974728000000002 59.3818521, 17.9744843 59.38183110000001, 17.973993500000002 59.381822400000004, 17.972718800000003 59.3817505, 17.972643100000003 59.38176000000001, 17.9725834 59.381789100000006, 17.9724131 59.3819779)",false,190.50159,30.0,22.860191,612639521669906431,612639521669906431,8
1304,10060300295,1017320896,147040313,tertiary,Tulegatan,40,yes,1,asphalt,"[10060300295, 10060312293, 747456067, 1602366804, 1017320896]","LINESTRING (17.9785101 59.363621, 17.9783146 59.36368160000001, 17.9782675 59.36369620000001, 17.9780936 59.3637603, 17.9778358 59.363871800000005)",false,47.411358,40.0,4.267022,612639521701363711,612639521701363711,8
1305,1697890077,1686980247,1098408017,tertiary,Tulegatan,40,yes,,asphalt,"[1697890077, 773537223, 1686980352, 1686980247]","LINESTRING (17.9731943 59.36539080000001, 17.9730955 59.365413200000006, 17.9730053 59.365436, 17.9726518 59.36554280000001)",false,35.11763,40.0,3.1605866,612639521709752319,612639521709752319,8
1306,661138887,1809818746,51826682,service,,20.0,,,,"[661138887, 1809818746]","LINESTRING (17.945746800000002 59.376919, 17.9460985 59.3772029)",false,37.328106,20.0,6.719059,612639521676197887,612639521676197887,8
1307,1526070027,2433935238,139227465,service,,20.0,,,asphalt,"[1526070027, 1526070025, 1526070024, 7981994928, 12106923437, 2433935238]","LINESTRING (17.9587592 59.365079400000006, 17.9586362 59.364999000000005, 17.958500400000002 59.3649914, 17.9582094 59.36503630000001, 17.9578859 59.3650743, 17.957229400000003 59.3651514)",false,93.288,20.0,16.79184,612639521770569727,612639521770569727,8
1308,5777343892,2336545248,609997512,service,,20.0,,,,"[5777343892, 11260209111, 1542350848, 2336545248]","LINESTRING (17.955437 59.388792, 17.9550728 59.38845070000001, 17.9550127 59.3883944, 17.954904300000003 59.3882394)",false,68.61257,20.0,12.350263,612639521674100735,612639521674100735,8
1309,9654068970,1542350863,1050559888,service,,20.0,,,asphalt,"[9654068970, 12994738509, 9654068971, 1542350863]","LINESTRING (17.9552169 59.3875638, 17.955486800000003 59.3876099, 17.9556106 59.387631000000006, 17.9557606 59.387694)",false,34.521393,20.0,6.213851,612639521674100735,612639521674100735,8
1310,12478989816,1599112999,1349048994,unclassified,,40,yes,,,"[12478989816, 12478989817, 12478989815, 12478989814, 12478989813, 12478989812, 12478989811, 12478989810, 12478989809, 12478989808, 1599112999]","LINESTRING (17.9522575 59.380106700000006, 17.9523946 59.380055600000006, 17.952594 59.38001010000001, 17.9530379 59.3799513, 17.9534925 59.379893300000006, 17.9537674 59.3798523, 17.953872 59.379820900000006, 17.953944500000002 59.379787400000005, 17.9540048 59.3797471, 17.9540504 59.37968970000001, 17.954098300000002 59.379575800000005)",false,128.63155,40.0,11.576839,612639521676197887,612639521676197887,8
1311,2037308104,1599113061,1102903942,unclassified,Östra Madenvägen,50,yes,,asphalt,"[2037308104, 1599113044, 1599113061]","LINESTRING (17.9540198 59.37887310000001, 17.953970400000003 59.3789335, 17.9539395 59.378990400000006)",false,13.840248,50.0,0.99649787,612639521676197887,612639521676197887,8
1312,1599113020,1599113069,146643946,unclassified,,40,,,asphalt,"[1599113020, 1599113070, 1599113069]","LINESTRING (17.9536549 59.3791407, 17.9536222 59.379124000000004, 17.9535883 59.379091900000006)",false,6.675663,40.0,0.6008097,612639521676197887,612639521676197887,8
1313,1599130013,1599130068,146645716,service,,20.0,,,,"[1599130013, 1599130058, 1599130057, 7095275363, 1599130068]","LINESTRING (17.9545007 59.3786806, 17.957787800000002 59.3784439, 17.9579004 59.378433, 17.957923 59.378423500000004, 17.957976300000002 59.3783983)",false,200.29826,20.0,36.053688,612639521676197887,612639521667809279,7
1314,13236907831,1606597236,1163603746,unclassified,Madenvägen,50,,2,asphalt,"[13236907831, 1606597236]","LINESTRING (17.9492987 59.379046, 17.9499806 59.378941000000005)",false,40.347595,50.0,2.905027,612639521676197887,612639521676197887,8
